START,END,date,lat,lon,Observer,dawn,sunrise
2018-03-03T02:00:00Z,2018-03-03T04:00:00Z,2018-03-03,24.42,13.46,FOA,2018-03-03T04:39:13Z,2018-03-03T05:28:27Z
2018-03-04T02:00:00Z,2018-03-04T04:00:00Z,2018-03-04,24.49,13.45,FOA,2018-03-04T04:38:22Z,2018-03-04T05:27:36Z
2018-03-05T02:00:00Z,2018-03-05T04:00:00Z,2018-03-05,24.37,13.48,FOA,2018-03-05T04:37:20Z,2018-03-05T05:26:29Z
2018-03-06T02:00:00Z,2018-03-06T04:00:00Z,2018-03-06,24.1,13.26,FOA,2018-03-06T04:37:16Z,2018-03-06T05:26:18Z
2018-03-07T02:00:00Z,2018-03-07T04:00:00Z,2018-03-07,24.58,13.28,FOA,2018-03-07T04:36:17Z,2018-03-07T05:25:29Z
2018-03-08T02:00:00Z,2018-03-08T04:00:00Z,2018-03-08,24.17,13.29,FOA,2018-03-08T04:35:18Z,2018-03-08T05:24:19Z
2018-03-09T03:15:00Z,2018-03-09T05:15:00Z,2018-03-09,23.49,13.15,FOA,2018-03-09T04:34:55Z,2018-03-09T05:23:41Z
2018-06-09T01:45:00Z,2018-06-09T03:45:00Z,2018-06-09,21.49,12.44,FOA,2018-06-09T03:34:16Z,2018-06-09T04:28:34Z
2018-06-10T02:15:00Z,2018-06-10T04:15:00Z,2018-06-10,20.52,12.4,FOA,2018-06-10T03:36:52Z,2018-06-10T04:30:43Z
2018-06-11T02:00:00Z,2018-06-11T04:00:00Z,2018-06-11,21.11,12.42,FOA,2018-06-11T03:35:19Z,2018-06-11T04:29:30Z
2018-06-12T02:15:00Z,2018-06-12T04:15:00Z,2018-06-12,21.13,12.43,FOA,2018-06-12T03:35:15Z,2018-06-12T04:29:29Z
2018-06-13T02:45:00Z,2018-06-13T04:45:00Z,2018-06-13,21,12.42,FOA,2018-06-13T03:35:40Z,2018-06-13T04:29:52Z
2018-03-30T02:00:00Z,2018-03-30T04:00:00Z,2018-03-30,23.19,13.24,FOA,2018-03-30T04:13:44Z,2018-03-30T05:02:42Z
2018-03-31T01:50:00Z,2018-03-31T03:50:00Z,2018-03-31,23.4,13.2,FOA,2018-03-31T04:12:43Z,2018-03-31T05:01:48Z
2018-04-01T01:48:00Z,2018-04-01T03:48:00Z,2018-04-01,24,13.27,FOA,2018-04-01T04:10:55Z,2018-04-01T05:00:18Z
2018-04-02T01:48:00Z,2018-04-02T03:48:00Z,2018-04-02,24.21,13.3,FOA,2018-04-02T04:09:34Z,2018-04-02T04:59:05Z
2018-04-03T02:18:00Z,2018-04-03T04:18:00Z,2018-04-03,23.59,13.24,FOA,2018-04-03T04:09:18Z,2018-04-03T04:58:37Z
2018-04-04T02:20:00Z,2018-04-04T04:20:00Z,2018-04-04,23.31,13.21,FOA,2018-04-04T04:08:38Z,2018-04-04T04:57:54Z
2018-04-05T02:00:00Z,2018-04-05T04:00:00Z,2018-04-05,23.5,13.18,FOA,2018-04-05T04:07:33Z,2018-04-05T04:56:57Z
2018-04-06T02:00:00Z,2018-04-06T04:00:00Z,2018-04-06,23.57,13.17,FOA,2018-04-06T04:06:30Z,2018-04-06T04:55:59Z
2018-06-07T02:10:00Z,2018-06-07T04:10:00Z,2018-06-07,24.21,13.41,FOA,2018-06-07T03:23:18Z,2018-06-07T04:19:07Z
2018-06-08T06:20:00Z,2018-06-08T08:20:00Z,2018-06-08,25.49,13.51,FOA,2018-06-08T03:19:15Z,2018-06-08T04:15:58Z
2018-06-09T02:00:00Z,2018-06-09T04:00:00Z,2018-06-09,26.23,14.07,FOA,2018-06-09T03:14:47Z,2018-06-09T04:12:06Z
2018-06-10T02:55:00Z,2018-06-10T04:55:00Z,2018-06-10,26.17,14.02,FOA,2018-06-10T03:15:06Z,2018-06-10T04:12:25Z
2018-06-11T05:40:00Z,2018-06-11T07:40:00Z,2018-06-11,25.24,13.42,FOA,2018-06-11T03:20:10Z,2018-06-11T04:16:52Z
2018-03-22T02:55:00Z,2018-03-22T04:55:00Z,2018-03-22,22.39,13.04,FOA,2018-03-22T04:23:04Z,2018-03-22T05:11:28Z
2018-03-22T01:40:00Z,2018-03-22T03:40:00Z,2018-03-22,22.48,13.07,FOA,2018-03-22T04:22:55Z,2018-03-22T05:11:21Z
2018-03-23T01:35:00Z,2018-03-23T03:35:00Z,2018-03-23,22.42,13.06,FOA,2018-03-23T04:21:59Z,2018-03-23T05:10:26Z
2018-03-23T02:57:00Z,2018-03-23T04:57:00Z,2018-03-23,22.34,13.03,FOA,2018-03-23T04:22:09Z,2018-03-23T05:10:33Z
2018-03-24T01:40:00Z,2018-03-24T03:40:00Z,2018-03-24,22.39,13.06,FOA,2018-03-24T04:21:01Z,2018-03-24T05:09:28Z
2018-03-24T03:00:00Z,2018-03-24T05:00:00Z,2018-03-24,22.3,13.04,FOA,2018-03-24T04:21:08Z,2018-03-24T05:09:33Z
2018-03-25T01:40:00Z,2018-03-25T03:40:00Z,2018-03-25,22.39,13.04,FOA,2018-03-25T04:20:06Z,2018-03-25T05:08:35Z
2018-03-25T03:00:00Z,2018-03-25T05:00:00Z,2018-03-25,22.31,13.01,FOA,2018-03-25T04:20:16Z,2018-03-25T05:08:43Z
2018-03-26T02:14:00Z,2018-03-26T04:14:00Z,2018-03-26,22.58,13.25,FOA,2018-03-26T04:18:09Z,2018-03-26T05:06:44Z
2018-03-26T03:40:00Z,2018-03-26T05:40:00Z,2018-03-26,23.07,13.25,FOA,2018-03-26T04:17:52Z,2018-03-26T05:06:38Z
2018-03-27T01:55:00Z,2018-03-27T03:55:00Z,2018-03-27,23.12,13.25,FOA,2018-03-27T04:16:49Z,2018-03-27T05:05:38Z
2018-03-27T03:20:00Z,2018-03-27T05:20:00Z,2018-03-27,23.02,13.25,FOA,2018-03-27T04:16:53Z,2018-03-27T05:05:40Z
2018-03-09T02:00:00Z,2018-03-09T04:00:00Z,2018-03-09,23.19,13.2,FOA,2018-03-09T04:34:44Z,2018-03-09T05:23:22Z
2018-03-10T02:00:00Z,2018-03-10T04:00:00Z,2018-03-10,22.56,13.24,FOA,2018-03-10T04:33:40Z,2018-03-10T05:22:05Z
2018-03-11T02:15:00Z,2018-03-11T04:15:00Z,2018-03-11,22.58,13.22,FOA,2018-03-11T04:32:50Z,2018-03-11T05:21:14Z
2018-03-12T02:10:00Z,2018-03-12T04:10:00Z,2018-03-12,23.24,13.2,FOA,2018-03-12T04:31:55Z,2018-03-12T05:20:33Z
2018-03-03T02:45:00Z,2018-03-03T04:45:00Z,2018-03-03,24.41,13.46,FOA,2018-03-03T04:39:13Z,2018-03-03T05:28:27Z
2018-03-04T01:45:00Z,2018-03-04T03:45:00Z,2018-03-04,24.5,13.44,FOA,2018-03-04T04:38:25Z,2018-03-04T05:27:39Z
2018-03-05T01:45:00Z,2018-03-05T03:45:00Z,2018-03-05,24.37,13.47,FOA,2018-03-05T04:37:22Z,2018-03-05T05:26:32Z
2018-03-06T02:10:00Z,2018-03-06T04:10:00Z,2018-03-06,24.24,13.39,FOA,2018-03-06T04:36:46Z,2018-03-06T05:25:51Z
2018-03-07T01:50:00Z,2018-03-07T03:50:00Z,2018-03-07,24.16,13.31,FOA,2018-03-07T04:36:09Z,2018-03-07T05:25:11Z
2018-03-08T02:55:00Z,2018-03-08T04:55:00Z,2018-03-08,24.13,13.3,FOA,2018-03-08T04:35:15Z,2018-03-08T05:24:16Z
2018-05-15T01:55:00Z,2018-05-15T03:55:00Z,2018-05-15,21.3,12.42,FOA,2018-05-15T03:41:28Z,2018-05-15T04:33:39Z
2018-05-16T02:55:00Z,2018-05-16T04:55:00Z,2018-05-16,21.25,12.42,FOA,2018-05-16T03:41:05Z,2018-05-16T04:33:20Z
2018-05-17T01:55:00Z,2018-05-17T03:55:00Z,2018-05-17,21.32,12.44,FOA,2018-05-17T03:40:23Z,2018-05-17T04:32:46Z
2018-05-18T02:15:00Z,2018-05-18T04:15:00Z,2018-05-18,21.15,12.47,FOA,2018-05-18T03:40:10Z,2018-05-18T04:32:35Z
2018-05-19T02:13:00Z,2018-05-19T04:13:00Z,2018-05-19,21,12.45,FOA,2018-05-19T03:40:08Z,2018-05-19T04:32:34Z
2018-06-20T05:00:00Z,2018-06-20T07:00:00Z,2018-06-20,22.45,12.57,FOA,2018-06-20T03:32:06Z,2018-06-20T04:27:15Z
2018-06-21T02:46:00Z,2018-06-21T04:46:00Z,2018-06-21,23,13.05,FOA,2018-06-21T03:28:52Z,2018-06-21T04:24:21Z
2018-06-23T03:28:00Z,2018-06-23T05:28:00Z,2018-06-23,22.11,12.52,FOA,2018-06-23T03:33:49Z,2018-06-23T04:28:46Z
2018-06-24T03:00:00Z,2018-06-24T05:00:00Z,2018-06-24,22.04,12.48,FOA,2018-06-24T03:34:25Z,2018-06-24T04:29:19Z
2018-05-13T01:00:00Z,2018-05-13T03:00:00Z,2018-05-13,22.1,12.57,FOA,2018-05-13T03:40:16Z,2018-05-13T04:32:37Z
2018-05-14T03:00:00Z,2018-05-14T05:00:00Z,2018-05-14,21.55,12.46,FOA,2018-05-14T03:41:18Z,2018-05-14T04:33:30Z
2018-05-15T02:00:00Z,2018-05-15T04:00:00Z,2018-05-15,21.35,12.45,FOA,2018-05-15T03:41:15Z,2018-05-15T04:33:27Z
2018-05-16T02:30:00Z,2018-05-16T04:30:00Z,2018-05-16,21.25,12.45,FOA,2018-05-16T03:40:58Z,2018-05-16T04:33:13Z
2018-05-17T02:40:00Z,2018-05-17T04:40:00Z,2018-05-17,21.31,12.45,FOA,2018-05-17T03:40:22Z,2018-05-17T04:32:45Z
2018-05-18T02:00:00Z,2018-05-18T04:00:00Z,2018-05-18,21.28,12.48,FOA,2018-05-18T03:39:51Z,2018-05-18T04:32:19Z
2018-05-19T02:50:00Z,2018-05-19T04:50:00Z,2018-05-19,12.44,12.44,FOA,2018-05-19T03:57:00Z,2018-05-19T04:46:19Z
2018-04-22T02:00:00Z,2018-04-22T04:00:00Z,2018-04-22,22.59,13.04,FOA,2018-04-22T03:52:50Z,2018-04-22T04:43:13Z
2018-04-23T02:00:00Z,2018-04-23T04:00:00Z,2018-04-23,23.01,13.04,FOA,2018-04-23T03:51:20Z,2018-04-23T04:41:59Z
2018-04-23T03:00:00Z,2018-04-23T05:00:00Z,2018-04-23,23.01,13.02,FOA,2018-04-23T03:51:25Z,2018-04-23T04:42:04Z
2018-04-24T02:00:00Z,2018-04-24T04:00:00Z,2018-04-24,22.57,13.03,FOA,2018-04-24T03:51:11Z,2018-04-24T04:41:44Z
2018-04-25T02:00:00Z,2018-04-25T04:00:00Z,2018-04-25,23.17,13.17,FOA,2018-04-25T03:48:49Z,2018-04-25T04:39:45Z
2018-04-26T02:00:00Z,2018-04-26T04:00:00Z,2018-04-26,23.22,13.23,FOA,2018-04-26T03:47:39Z,2018-04-26T04:38:41Z
2018-04-26T03:00:00Z,2018-04-26T05:00:00Z,2018-04-26,23.31,13.2,FOA,2018-04-26T03:47:37Z,2018-04-26T04:38:42Z
2018-04-27T02:00:00Z,2018-04-27T04:00:00Z,2018-04-27,23.05,13.16,FOA,2018-04-27T03:47:22Z,2018-04-27T04:38:26Z
2018-04-27T03:00:00Z,2018-04-27T05:00:00Z,2018-04-27,23.04,13.15,FOA,2018-04-27T03:47:25Z,2018-04-27T04:38:29Z
2018-04-28T03:00:00Z,2018-04-28T05:00:00Z,2018-04-28,22.58,13.15,FOA,2018-04-28T03:47:22Z,2018-04-28T04:38:20Z
2018-04-29T02:00:00Z,2018-04-29T04:00:00Z,2018-04-29,22.46,13.15,FOA,2018-04-29T03:46:46Z,2018-04-29T04:37:47Z
2018-03-21T01:00:00Z,2018-03-21T03:00:00Z,2018-03-21,23.56,13.18,FOA,2018-03-21T04:23:01Z,2018-03-21T05:11:50Z
2018-03-22T01:25:00Z,2018-03-22T03:25:00Z,2018-03-22,24.18,13.28,FOA,2018-03-22T04:21:18Z,2018-03-22T05:10:23Z
2018-03-23T02:00:00Z,2018-03-23T04:00:00Z,2018-03-23,23.31,13.19,FOA,2018-03-23T04:21:03Z,2018-03-23T05:09:49Z
2018-03-24T03:00:00Z,2018-03-24T05:00:00Z,2018-03-24,23.41,13.22,FOA,2018-03-24T04:19:51Z,2018-03-24T05:08:41Z
2018-03-25T01:30:00Z,2018-03-25T03:30:00Z,2018-03-25,23.26,13.21,FOA,2018-03-25T04:18:57Z,2018-03-25T05:07:45Z
2018-03-26T02:20:00Z,2018-03-26T04:20:00Z,2018-03-26,23.21,13.23,FOA,2018-03-26T04:17:52Z,2018-03-26T05:06:41Z
2018-03-28T04:30:00Z,2018-03-28T06:30:00Z,2018-03-28,22.43,13.06,FOA,2018-03-28T04:17:00Z,2018-03-28T05:05:36Z
2018-03-29T05:45:00Z,2018-03-29T07:45:00Z,2018-03-29,23.2,13.22,FOA,2018-03-29T04:14:50Z,2018-03-29T05:03:46Z
2018-03-30T02:10:00Z,2018-03-30T04:10:00Z,2018-03-30,23.19,13.23,FOA,2018-03-30T04:13:47Z,2018-03-30T05:02:44Z
2018-03-31T02:00:00Z,2018-03-31T04:00:00Z,2018-03-31,23.42,13.18,FOA,2018-03-31T04:12:47Z,2018-03-31T05:01:52Z
2018-04-01T02:05:00Z,2018-04-01T04:05:00Z,2018-04-01,21.1,13.24,FOA,2018-04-01T04:13:16Z,2018-04-01T05:01:34Z
2018-04-02T01:40:00Z,2018-04-02T03:40:00Z,2018-04-02,24.2,13.31,FOA,2018-04-02T04:09:32Z,2018-04-02T04:59:03Z
2018-04-18T05:55:00Z,2018-04-18T07:55:00Z,2018-04-18,22.51,13,FOA,2018-04-18T03:56:42Z,2018-04-18T04:46:40Z
2018-04-19T03:00:00Z,2018-04-19T05:00:00Z,2018-04-19,22.31,12.52,FOA,2018-04-19T03:57:59Z,2018-04-19T04:47:57Z
2018-04-20T05:00:00Z,2018-04-20T07:00:00Z,2018-04-20,22.46,13.08,FOA,2018-04-20T03:54:38Z,2018-04-20T04:44:46Z
2018-04-21T03:20:00Z,2018-04-21T05:20:00Z,2018-04-21,23.03,13.12,FOA,2018-04-21T03:52:46Z,2018-04-21T04:43:14Z
2018-04-22T02:00:00Z,2018-04-22T04:00:00Z,2018-04-22,22.59,13.16,FOA,2018-04-22T03:52:22Z,2018-04-22T04:42:44Z
2018-04-23T02:10:00Z,2018-04-23T04:10:00Z,2018-04-23,22.58,13.17,FOA,2018-04-23T03:51:28Z,2018-04-23T04:41:55Z
2018-04-21T02:15:00Z,2018-04-21T04:15:00Z,2018-04-21,22.43,13.12,FOA,2018-04-21T03:53:38Z,2018-04-21T04:43:50Z
2018-04-22T02:05:00Z,2018-04-22T04:05:00Z,2018-04-22,22.59,13.15,FOA,2018-04-22T03:52:24Z,2018-04-22T04:42:46Z
2018-04-23T02:30:00Z,2018-04-23T04:30:00Z,2018-04-23,22.32,12.57,FOA,2018-04-23T03:54:15Z,2018-04-23T04:44:36Z
2018-04-24T02:25:00Z,2018-04-24T04:25:00Z,2018-04-24,22.54,13.04,FOA,2018-04-24T03:51:11Z,2018-04-24T04:41:44Z
2018-04-25T02:05:00Z,2018-04-25T04:05:00Z,2018-04-25,23.1,13.12,FOA,2018-04-25T03:49:08Z,2018-04-25T04:40:01Z
2018-04-11T01:50:00Z,2018-04-11T03:50:00Z,2018-04-11,22.24,12.5,FOA,2018-04-11T04:05:35Z,2018-04-11T04:54:53Z
2018-04-11T03:10:00Z,2018-04-11T05:10:00Z,2018-04-11,22.16,12.56,FOA,2018-04-11T04:05:26Z,2018-04-11T04:54:42Z
2018-04-12T02:20:00Z,2018-04-12T04:20:00Z,2018-04-12,22.38,12.56,FOA,2018-04-12T04:04:14Z,2018-04-12T04:53:40Z
2018-04-12T03:30:00Z,2018-04-12T05:30:00Z,2018-04-12,22.3,12.55,FOA,2018-04-12T04:04:22Z,2018-04-12T04:53:46Z
2018-04-13T02:15:00Z,2018-04-13T04:15:00Z,2018-04-13,23.05,13.1,FOA,2018-04-13T04:00:20Z,2018-04-13T04:50:06Z
2018-04-13T03:30:00Z,2018-04-13T05:30:00Z,2018-04-13,22.57,13.07,FOA,2018-04-13T04:01:01Z,2018-04-13T04:50:36Z
2018-04-14T01:30:00Z,2018-04-14T03:30:00Z,2018-04-14,23.01,13.1,FOA,2018-04-14T03:59:25Z,2018-04-14T04:49:15Z
2018-04-14T02:50:00Z,2018-04-14T04:50:00Z,2018-04-14,22.53,13.07,FOA,2018-04-14T04:00:07Z,2018-04-14T04:49:45Z
2018-04-15T02:50:00Z,2018-04-15T04:50:00Z,2018-04-15,22.5,13.06,FOA,2018-04-15T03:59:15Z,2018-04-15T04:48:58Z
2018-04-15T01:30:00Z,2018-04-15T03:30:00Z,2018-04-15,22.59,13.08,FOA,2018-04-15T03:59:03Z,2018-04-15T04:48:48Z
2018-04-16T00:50:00Z,2018-04-16T02:50:00Z,2018-04-16,22.58,13.03,FOA,2018-04-16T03:58:20Z,2018-04-16T04:48:10Z
2018-04-16T02:45:00Z,2018-04-16T04:45:00Z,2018-04-16,22.49,13.05,FOA,2018-04-16T03:58:22Z,2018-04-16T04:48:09Z
2018-04-17T01:30:00Z,2018-04-17T03:30:00Z,2018-04-17,22.57,13.03,FOA,2018-04-17T03:57:25Z,2018-04-17T04:47:19Z
2018-04-08T02:00:00Z,2018-04-08T04:00:00Z,2018-04-08,21.07,12.48,FOA,2018-04-08T04:09:42Z,2018-04-08T04:58:22Z
2018-04-09T02:00:00Z,2018-04-09T04:00:00Z,2018-04-09,21.1,12.46,FOA,2018-04-09T04:08:49Z,2018-04-09T04:57:34Z
2018-04-10T03:00:00Z,2018-04-10T05:00:00Z,2018-04-10,21.01,12.44,FOA,2018-04-10T04:08:04Z,2018-04-10T04:56:50Z
2018-04-11T02:45:00Z,2018-04-11T04:45:00Z,2018-04-11,21.42,12.47,FOA,2018-04-11T04:06:36Z,2018-04-11T04:55:35Z
2018-04-12T03:00:00Z,2018-04-12T05:00:00Z,2018-04-12,22.12,12.58,FOA,2018-04-12T04:04:27Z,2018-04-12T04:53:46Z
2018-04-05T03:00:00Z,2018-04-05T05:00:00Z,2018-04-05,24.56,13.41,FOA,2018-04-05T04:05:37Z,2018-04-05T04:55:28Z
2018-04-09T02:05:00Z,2018-04-09T04:05:00Z,2018-04-09,22.4,13.07,FOA,2018-04-09T04:05:04Z,2018-04-09T04:54:17Z
2018-05-23T01:50:00Z,2018-05-23T03:50:00Z,2018-05-23,22.08,12.53,FOA,2018-05-23T03:35:48Z,2018-05-23T04:29:10Z
2018-05-24T01:45:00Z,2018-05-24T03:45:00Z,2018-05-24,22.33,13.03,FOA,2018-05-24T03:32:51Z,2018-05-24T04:26:26Z
2018-05-25T02:25:00Z,2018-05-25T04:25:00Z,2018-05-25,22.47,12.59,FOA,2018-05-25T03:33:56Z,2018-05-25T04:27:41Z
2018-05-26T02:30:00Z,2018-05-26T04:30:00Z,2018-05-26,23.24,13.19,FOA,2018-05-26T03:29:19Z,2018-05-26T04:23:36Z
2018-05-27T02:30:00Z,2018-05-27T04:30:00Z,2018-05-27,22.55,13.14,FOA,2018-05-27T03:30:54Z,2018-05-27T04:24:53Z
2018-05-28T05:10:00Z,2018-05-28T07:10:00Z,2018-05-28,22.43,13.13,FOA,2018-05-28T03:30:56Z,2018-05-28T04:24:57Z
2018-05-29T01:35:00Z,2018-05-29T03:35:00Z,2018-05-29,22.55,13.15,FOA,2018-05-29T03:30:17Z,2018-05-29T04:24:27Z
2018-05-08T01:55:00Z,2018-05-08T03:55:00Z,2018-05-08,25.02,13.43,FOA,2018-05-08T03:33:57Z,2018-05-08T04:27:15Z
2018-05-09T02:55:00Z,2018-05-09T04:55:00Z,2018-05-09,24.12,13.32,FOA,2018-05-09T03:35:33Z,2018-05-09T04:28:29Z
2018-05-10T02:25:00Z,2018-05-10T04:25:00Z,2018-05-10,23.39,13.14,FOA,2018-05-10T03:37:07Z,2018-05-10T04:29:47Z
2018-05-11T02:40:00Z,2018-05-11T04:40:00Z,2018-05-11,23.02,13.1,FOA,2018-05-11T03:37:25Z,2018-05-11T04:30:00Z
2018-05-12T02:15:00Z,2018-05-12T04:15:00Z,2018-05-12,22.51,13.12,FOA,2018-05-12T03:37:47Z,2018-05-12T04:30:14Z
2018-05-01T01:20:00Z,2018-05-01T03:20:00Z,2018-05-01,22,12.58,FOA,2018-05-01T03:48:18Z,2018-05-01T04:39:19Z
2018-05-01T02:45:00Z,2018-05-01T04:45:00Z,2018-05-01,22.51,12.56,FOA,2018-05-01T03:47:29Z,2018-05-01T04:38:44Z
2018-05-02T04:10:00Z,2018-05-02T06:10:00Z,2018-05-02,22.41,13.07,FOA,2018-05-02T03:44:52Z,2018-05-02T04:36:11Z
2018-05-02T05:20:00Z,2018-05-02T07:20:00Z,2018-05-02,22.5,13.09,FOA,2018-05-02T03:44:38Z,2018-05-02T04:35:59Z
2018-05-03T02:50:00Z,2018-05-03T04:50:00Z,2018-05-03,22.49,13.17,FOA,2018-05-03T03:43:35Z,2018-05-03T04:35:02Z
2018-05-03T01:30:00Z,2018-05-03T03:30:00Z,2018-05-03,22.59,13.2,FOA,2018-05-03T03:43:17Z,2018-05-03T04:34:47Z
2018-05-04T02:50:00Z,2018-05-04T04:50:00Z,2018-05-04,22.44,13,FOA,2018-05-04T03:43:38Z,2018-05-04T04:35:10Z
2018-05-04T01:40:00Z,2018-05-04T03:40:00Z,2018-05-04,22.54,13.03,FOA,2018-05-04T03:43:20Z,2018-05-04T04:34:55Z
2018-05-05T01:20:00Z,2018-05-05T03:20:00Z,2018-05-05,22.44,13,FOA,2018-05-05T03:42:56Z,2018-05-05T04:34:34Z
2018-05-05T02:40:00Z,2018-05-05T04:40:00Z,2018-05-05,22.35,12.57,FOA,2018-05-05T03:44:49Z,2018-05-05T04:36:25Z
2018-05-06T03:10:00Z,2018-05-06T05:10:00Z,2018-05-06,22.58,13.08,FOA,2018-05-06T03:41:39Z,2018-05-06T04:33:28Z
2018-05-06T02:00:00Z,2018-05-06T04:00:00Z,2018-05-06,23.07,13.11,FOA,2018-05-06T03:40:35Z,2018-05-06T04:32:39Z
2018-05-18T03:30:00Z,2018-05-18T05:30:00Z,2018-05-18,21.24,12.5,FOA,2018-05-18T03:39:51Z,2018-05-18T04:32:18Z
2018-05-19T02:00:00Z,2018-05-19T04:00:00Z,2018-05-19,20.59,12.42,FOA,2018-05-19T03:41:08Z,2018-05-19T04:33:23Z
2018-05-20T02:00:00Z,2018-05-20T04:00:00Z,2018-05-20,20.4,12.21,FOA,2018-05-20T03:41:59Z,2018-05-20T04:34:14Z
2018-05-21T03:30:00Z,2018-05-21T05:30:00Z,2018-05-21,20.45,12.23,FOA,2018-05-21T03:41:25Z,2018-05-21T04:33:47Z
2018-05-28T03:10:00Z,2018-05-28T05:10:00Z,2018-05-28,23.04,13.04,FOA,2018-05-28T03:29:47Z,2018-05-28T04:24:08Z
2018-05-30T02:25:00Z,2018-05-30T04:25:00Z,2018-05-30,23.02,13.07,FOA,2018-05-30T03:29:11Z,2018-05-30T04:23:41Z
2018-05-31T02:35:00Z,2018-05-31T04:35:00Z,2018-05-31,22.58,13.14,FOA,2018-05-31T03:29:47Z,2018-05-31T04:24:07Z
2018-06-01T02:00:00Z,2018-06-01T04:00:00Z,2018-06-01,22.49,13,FOA,2018-06-01T03:30:21Z,2018-06-01T04:24:43Z
2018-06-02T02:55:00Z,2018-06-02T04:55:00Z,2018-06-02,22.2,12.53,FOA,2018-06-02T03:32:47Z,2018-06-02T04:27:03Z
2018-06-03T02:05:00Z,2018-06-03T04:05:00Z,2018-06-03,22.19,12.54,FOA,2018-06-03T03:32:36Z,2018-06-03T04:26:57Z
2018-06-04T03:05:00Z,2018-06-04T05:05:00Z,2018-06-04,19.37,11.45,FOA,2018-06-04T03:43:45Z,2018-06-04T04:36:43Z
2018-06-04T01:50:00Z,2018-06-04T03:50:00Z,2018-06-04,19.46,11.47,FOA,2018-06-04T03:43:27Z,2018-06-04T04:36:27Z
2018-06-05T02:45:00Z,2018-06-05T04:45:00Z,2018-06-05,19.27,11.42,FOA,2018-06-05T03:44:01Z,2018-06-05T04:37:00Z
2018-06-05T01:30:00Z,2018-06-05T03:30:00Z,2018-06-05,19.36,11.44,FOA,2018-06-05T03:43:43Z,2018-06-05T04:36:45Z
2018-06-06T02:50:00Z,2018-06-06T04:50:00Z,2018-06-06,19.19,11.4,FOA,2018-06-06T03:44:14Z,2018-06-06T04:37:13Z
2018-06-06T01:30:00Z,2018-06-06T03:30:00Z,2018-06-06,19.28,11.42,FOA,2018-06-06T03:43:56Z,2018-06-06T04:36:58Z
2018-06-07T02:40:00Z,2018-06-07T04:40:00Z,2018-06-07,19.22,11.4,FOA,2018-06-07T03:44:06Z,2018-06-07T04:37:10Z
2018-06-07T01:20:00Z,2018-06-07T03:20:00Z,2018-06-07,19.31,11.43,FOA,2018-06-07T03:43:46Z,2018-06-07T04:36:52Z
2018-06-08T01:50:00Z,2018-06-08T03:50:00Z,2018-06-08,19.17,11.4,FOA,2018-06-08T03:44:12Z,2018-06-08T04:37:17Z
2018-06-08T03:10:00Z,2018-06-08T05:10:00Z,2018-06-08,19.1,11.36,FOA,2018-06-08T03:44:32Z,2018-06-08T04:37:35Z
2018-06-09T03:30:00Z,2018-06-09T05:30:00Z,2018-06-09,19.42,11.53,FOA,2018-06-09T03:43:04Z,2018-06-09T04:36:19Z
2018-06-09T02:20:00Z,2018-06-09T04:20:00Z,2018-06-09,19.51,11.56,FOA,2018-06-09T03:42:44Z,2018-06-09T04:36:01Z
2018-06-11T07:15:00Z,2018-06-11T09:15:00Z,2018-06-11,21.28,12.44,FOA,2018-06-11T03:34:48Z,2018-06-11T04:29:05Z
2018-06-12T07:48:00Z,2018-06-12T09:48:00Z,2018-06-12,21.02,12.45,FOA,2018-06-12T03:35:27Z,2018-06-12T04:29:38Z
2018-06-13T02:19:00Z,2018-06-13T04:19:00Z,2018-06-13,21,12.39,FOA,2018-06-13T03:35:47Z,2018-06-13T04:30:00Z
2018-06-14T03:13:00Z,2018-06-14T05:13:00Z,2018-06-14,21.04,12.39,FOA,2018-06-14T03:35:45Z,2018-06-14T04:30:01Z
